analysis,label,model,pathway,cohens_d,p_permutation,p_floor,n_perm,n_distinct_splits,n_test,n_control
meta_analysis,RS,scaled,HALLMARK ALLOGRAFT REJECTION,0.17286283711185454,0.5887056471764118,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK ANDROGEN RESPONSE,-1.72661701286207,0.0004997501249375312,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK ANGIOGENESIS,0.26475981004956517,0.4287856071964018,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK APICAL JUNCTION,0.7554041704845722,0.026986506746626688,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK APICAL SURFACE,1.0992146030199708,0.0029985007496251873,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK APOPTOSIS,1.4695603531026808,0.0004997501249375312,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK BILE ACID METABOLISM,1.174567954352917,0.0009995002498750624,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK CHOLESTEROL HOMEOSTASIS,-1.2338470107222195,0.0009995002498750624,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK COAGULATION,0.9830352265515573,0.006496751624187906,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK COMPLEMENT,0.6444552974669271,0.0399800099950025,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK DNA REPAIR,-0.6313941235683778,0.05697151424287856,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK E2F TARGETS,1.1459519038094483,0.0009995002498750624,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.025461409861578587,0.9355322338830585,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK ESTROGEN RESPONSE EARLY,0.20528259517756708,0.5227386306846576,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK ESTROGEN RESPONSE LATE,0.13101014565478425,0.6851574212893553,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK FATTY ACID METABOLISM,-0.3304748990941817,0.31384307846076964,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK G2M CHECKPOINT,0.6637882854209145,0.04047976011994003,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK GLYCOLYSIS,-0.007427005810059888,0.9850074962518741,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK HEDGEHOG SIGNALING,-0.8689335058307935,0.0079960019990005,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK HEME METABOLISM,1.5471912104639014,0.0004997501249375312,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK HYPOXIA,0.7003717417308831,0.030984507746126936,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK IL2 STAT5 SIGNALING,-0.9133511842688614,0.00399800099950025,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK IL6 JAK STAT3 SIGNALING,0.04191212496300055,0.8950524737631185,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK INFLAMMATORY RESPONSE,0.8857056359808584,0.0074962518740629685,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK INTERFERON ALPHA RESPONSE,-1.6995830656422728,0.0004997501249375312,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK INTERFERON GAMMA RESPONSE,0.5727515656605553,0.06646676661669165,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK KRAS SIGNALING DN,0.46588668382785736,0.14992503748125938,1.1226327196211237e-14,2000,178152655364880,11,91
meta_analysis,RS,scaled,HALLMARK KRAS SIGNALING UP,0.5566803394879405,0.08945527236381809,1.1226327196211237e-14,2000,178152655364880,11,91
