analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,RS,HALLMARK SPERMATOGENESIS,6.0,0.0001725413780488977,0.3535123714673918,,,0.42694730853549734
meta_analysis,RS,HALLMARK TGF BETA SIGNALING,6.0,0.02288747761208294,0.0002245934849498999,,,0.0007587617734793916
meta_analysis,RS,HALLMARK TNFA SIGNALING VIA NFKB,6.0,0.0800938241681893,0.697734435462422,,,0.746170016575192
meta_analysis,RS,HALLMARK UNFOLDED PROTEIN RESPONSE,6.0,0.04025972448283817,5.883411806389675e-07,,,3.502030837136711e-06
meta_analysis,RS,HALLMARK UV RESPONSE DN,6.0,0.0047504162646168566,0.6739408621717264,,,0.7325444154040505
meta_analysis,RS,HALLMARK UV RESPONSE UP,6.0,0.010156306249771829,0.8040322631511574,,,0.8410379321664826
meta_analysis,RS,HALLMARK WNT BETA CATENIN SIGNALING,6.0,0.028454440066766413,2.4621196367837068e-05,,,9.927901761224624e-05
meta_analysis,RS,HALLMARK XENOBIOTIC METABOLISM,6.0,-0.03933272476691324,5.988444481431812e-05,,,0.0002268350182360535
meta_analysis,RS,Lysosomal Genes,6.0,0.015685888375269578,0.08628154746199307,,,0.13481491790936417
meta_analysis,SIPS,HALLMARK ADIPOGENESIS,4.0,0.03688998328101814,0.9231008365396582,,,0.9353476102330177
meta_analysis,SIPS,HALLMARK ALLOGRAFT REJECTION,4.0,0.021700780883618157,0.0003036123209504814,,,0.0009857542888002642
meta_analysis,SIPS,HALLMARK ANDROGEN RESPONSE,4.0,-0.040500898625752874,0.0007424137132447515,,,0.0020395981133097566
meta_analysis,SIPS,HALLMARK ANGIOGENESIS,4.0,0.024370850792224348,0.00045573537209585985,,,0.0013726969039031924
meta_analysis,SIPS,HALLMARK APICAL JUNCTION,4.0,0.03814617807393221,9.54377994931248e-10,,,8.836833286400446e-09
meta_analysis,SIPS,HALLMARK APICAL SURFACE,4.0,-0.005639222066389226,0.0010879823554489144,,,0.0028631114617076693
meta_analysis,SIPS,HALLMARK APOPTOSIS,4.0,0.01466683162708026,3.1003551926434854e-05,,,0.00012302996796204307
meta_analysis,SIPS,HALLMARK BILE ACID METABOLISM,4.0,-0.00010976182736072249,0.03327846461826841,,,0.058588846158923256
meta_analysis,SIPS,HALLMARK CHOLESTEROL HOMEOSTASIS,4.0,-0.00534114599894634,0.007419690968473641,,,0.015587586068221936
meta_analysis,SIPS,HALLMARK COAGULATION,4.0,0.06307634004393871,1.0133747630048238e-07,,,7.677081537915332e-07
meta_analysis,SIPS,HALLMARK COMPLEMENT,4.0,0.05207965494730193,0.0035434950761503133,,,0.008127282284748424
meta_analysis,SIPS,HALLMARK DNA REPAIR,4.0,-0.0019884904936262626,0.6844224144159624,,,0.7375241534654767
meta_analysis,SIPS,HALLMARK E2F TARGETS,4.0,0.08386713002646763,3.872145247306785e-18,,,1.9360726236533925e-16
meta_analysis,SIPS,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,4.0,0.012883758586580226,0.013354315130239706,,,0.025681375250460974
meta_analysis,SIPS,HALLMARK ESTROGEN RESPONSE EARLY,4.0,-0.019222767408665752,0.2658725168931563,,,0.34086220114507215
meta_analysis,SIPS,HALLMARK ESTROGEN RESPONSE LATE,4.0,-0.036910544962294706,2.7016784522519085e-10,,,2.936607013317292e-09
meta_analysis,SIPS,HALLMARK FATTY ACID METABOLISM,4.0,0.022203176008954335,0.0020089084295106413,,,0.005008656183606336
meta_analysis,SIPS,HALLMARK G2M CHECKPOINT,4.0,-0.039901038106433404,1.1026092686646528e-10,,,1.4205215089073743e-09
meta_analysis,SIPS,HALLMARK GLYCOLYSIS,4.0,0.0330573082257476,0.0007023541270039493,,,0.001972904851134689
meta_analysis,SIPS,HALLMARK HEDGEHOG SIGNALING,4.0,-0.016676287631307657,0.002768081760341196,,,0.0065284947177858405
meta_analysis,SIPS,HALLMARK HEME METABOLISM,4.0,0.0018054289846369915,0.0003760955164180782,,,0.0011752984888064944
meta_analysis,SIPS,HALLMARK HYPOXIA,4.0,0.10705323601524046,1.5843007054907498e-12,,,3.04673212594375e-11
meta_analysis,SIPS,HALLMARK IL2 STAT5 SIGNALING,4.0,0.02602822850765134,1.276445648258421e-05,,,5.5984458256948296e-05
meta_analysis,SIPS,HALLMARK IL6 JAK STAT3 SIGNALING,4.0,-0.041101055988305255,0.002043531722911385,,,0.005008656183606336
meta_analysis,SIPS,HALLMARK INFLAMMATORY RESPONSE,4.0,0.019788487555912216,0.03771828824655015,,,0.06594106336809467
meta_analysis,SIPS,HALLMARK INTERFERON ALPHA RESPONSE,4.0,-0.03862192562178584,3.7021409948934727e-05,,,0.00014461488261302628
meta_analysis,SIPS,HALLMARK INTERFERON GAMMA RESPONSE,4.0,0.05461709685255682,2.04560134846404e-12,,,3.6528595508286426e-11
