external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR2184432,SRP062872,GSM1861970,"GSE72407,GSE72409",Proliferating,Control rep 5,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184433,SRP062872,GSM1861971,"GSE72407,GSE72409",Proliferating,Control rep 6,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184434,SRP062872,GSM1861972,"GSE72407,GSE72409",Proliferating,Control rep 7,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184435,SRP062872,GSM1861973,"GSE72407,GSE72409",Proliferating,Control rep 8,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184436,SRP062872,GSM1861974,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 1,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184437,SRP062872,GSM1861975,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 2,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184438,SRP062872,GSM1861976,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 3,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184439,SRP062872,GSM1861977,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 4,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184440,SRP062872,GSM1861978,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 5,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184441,SRP062872,GSM1861979,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 6,IMR90 cells,sample group: RIS,False,,IMR90,no,True
SRR2184442,SRP062872,GSM1861980,"GSE72407,GSE72409",Oncogene-induced CS,RIS rep 7,IMR90 cells,sample group: RIS,False,,IMR90,no,True
