analysis,label,cell_type,timepoint,pathway,observed,expected_from_weight,total_shift,z,p_emp,interpretable,p_emp_adj
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK BILE ACID METABOLISM,0.027339627035237075,0.002375548714912062,0.3260575977910009,0.8780018639777618,0.35293235338233087,True,0.7560535016727424
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK CHOLESTEROL HOMEOSTASIS,0.06282856729457742,0.0025380560877716904,0.3260575977910009,1.71758286701828,0.08664566771661417,True,0.35710971460772756
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK COAGULATION,0.031102988130346895,0.0030073686068004244,0.3260575977910009,0.8254577325314155,0.3924303784810759,True,0.7845815854003679
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK COMPLEMENT,0.09489568888054895,0.005305636873528246,0.3260575977910009,1.9209590758821498,0.056297185140742965,True,0.3156620649980159
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK DNA REPAIR,-0.01224394295876586,0.002445015385423379,0.3260575977910009,-0.5722008460773096,0.5480225988700564,True,0.8547648589301984
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK E2F TARGETS,0.06853254222520538,0.0035516246795757912,0.3260575977910009,2.2201002552005775,0.030198490075496225,True,0.21173941302934854
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.06596584427030569,0.006651467562922177,0.3260575977910009,1.053995953161554,0.2853357332133393,True,0.6952102671109538
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ESTROGEN RESPONSE EARLY,-0.07158435127288856,0.005461668690312872,0.3260575977910009,-1.6748595492246463,0.09484525773711315,True,0.37309055599851587
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ESTROGEN RESPONSE LATE,-0.017933972211290793,0.0050144426367245845,0.3260575977910009,-0.523575445501476,0.5938203089845507,True,0.8787743498731102
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK FATTY ACID METABOLISM,-0.031236503617161907,0.003859627870550637,0.3260575977910009,-0.8875839613185521,0.36608169591520423,True,0.766765867314111
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK G2M CHECKPOINT,-0.018831970649134534,0.003856251625040175,0.3260575977910009,-0.6610561101128669,0.4929253537323134,True,0.8234093977119326
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK GLYCOLYSIS,0.10207000108053926,0.004927279685286675,0.3260575977910009,2.367577541007142,0.020848957552122394,True,0.17324133793310334
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK HEDGEHOG SIGNALING,-0.020004478626015232,0.0009924906888872356,0.3260575977910009,-1.0358487091968833,0.2597870106494675,True,0.6667227685127372
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK HEME METABOLISM,0.04090219008003053,0.004234300982259707,0.3260575977910009,1.0185537312805137,0.2993350332483376,True,0.6984484109127878
