external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR1560895,SRP045867,GSE60883,GSM1492877,Proliferating,MRC-5,MRC-5,MRC-5 fibroblasts,MRC_5_PD32_1,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 32 | cell type: MRC-5 fibroblasts | treatment: control
SRR1560896,SRP045867,GSE60883,GSM1492878,Proliferating,MRC-5,MRC-5,MRC-5 fibroblasts,MRC_5_PD32_2,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 32 | cell type: MRC-5 fibroblasts | treatment: control
SRR1560897,SRP045867,GSE60883,GSM1492879,Proliferating,MRC-5,MRC-5,MRC-5 fibroblasts,MRC_5_PD32_3,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 32 | cell type: MRC-5 fibroblasts | treatment: control
SRR1560898,SRP045867,GSE60883,GSM1492880,Contact_inhibited CQ,MRC-5,MRC-5,MRC-5 fibroblasts,150_day_Quiescence_1,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 36 | cell type: MRC-5 fibroblasts | treatment: subjected to quiescence using 150 days contact inhibition
SRR1560899,SRP045867,GSE60883,GSM1492881,Contact_inhibited CQ,MRC-5,MRC-5,MRC-5 fibroblasts,150_day_Quiescence_2,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 36 | cell type: MRC-5 fibroblasts | treatment: subjected to quiescence using 150 days contact inhibition
SRR1560900,SRP045867,GSE60883,GSM1492882,Contact_inhibited CQ,MRC-5,MRC-5,MRC-5 fibroblasts,150_day_Quiescence_3,no,no,,False,,yes,GEO per-sample record,Lung,population doublings: 36 | cell type: MRC-5 fibroblasts | treatment: subjected to quiescence using 150 days contact inhibition
SRR1567487,SRP046254,GSE61130,GSM1498119,Proliferating,IMR-90,IMR90 ER:RAS,IRM90,EV - 4OHT Rep1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells
SRR1567488,SRP046254,GSE61130,GSM1498120,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IRM90,EV + 4OHT Rep1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells
SRR1567491,SRP046254,GSE61130,GSM1498123,Proliferating,IMR-90,IMR90 ER:RAS,IRM90,EV - 4OHT Rep2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells
SRR1567492,SRP046254,GSE61130,GSM1498124,Oncogene-induced CS,IMR-90,IMR90 ER:RAS,IRM90,EV + 4OHT Rep2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells
